"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"necr","water_core",4,"30-50","Trees","unsettled",2025,20.25,4.95
"necr","water_core",4,"30-50","Water","break_endpoint",102,1.02,6.49
"necr","water_core",4,"30-50","Water","break_sustained",92,0.92,5.85
"necr","water_core",4,"30-50","Water","stable_flicker",955,9.55,60.75
"necr","water_core",4,"30-50","Water","unsettled",423,4.23,26.91
"necr","water_core",5,"50-100","Bare Ground","break_endpoint",459,4.59,45.45
"necr","water_core",5,"50-100","Bare Ground","break_sustained",24,0.24,2.38
"necr","water_core",5,"50-100","Bare Ground","unsettled",527,5.27,52.18
"necr","water_core",5,"50-100","Built Area","break_endpoint",9,0.09,0.54
"necr","water_core",5,"50-100","Built Area","break_sustained",13,0.13,0.78
"necr","water_core",5,"50-100","Built Area","stable",1520,15.2,91.13
"necr","water_core",5,"50-100","Built Area","stable_flicker",94,0.94,5.64
"necr","water_core",5,"50-100","Built Area","unsettled",32,0.32,1.92
"necr","water_core",5,"50-100","Crops","break_endpoint",204,2.04,4.53
"necr","water_core",5,"50-100","Crops","break_sustained",653,6.53,14.5
"necr","water_core",5,"50-100","Crops","stable",1228,12.28,27.28
